Shipment_ID,Date,Origin_Port,Destination_Port,Transport_Mode,Product_Category,Distance_km,Weight_MT,Fuel_Price_Index,Geopolitical_Risk_Score,Weather_Condition,Carrier_Reliability_Score,Lead_Time_Days,Disruption_Occurred,year,month,quarter,day_of_week,day_of_year,week_of_year,month_sin,month_cos,day_of_week_sin,day_of_week_cos,distance_per_mt,fuel_risk_interaction,reliability_risk_inverse,weather_risk_flag,long_lead_time_flag,shipping_year,shipping_month,shipping_baltic_dry_index,shipping_container_rate_usd_40ft,shipping_air_cargo_rate_usd_kg,shipping_bdi_mom_change_pct,shipping_container_yoy_pct,shipping_tanker_rate_aframax_usd_day,shipping_bulk_carrier_handysize_usd_day,shipping_supply_chain_pressure_index,shipping_on_time_delivery_pct,commodity_price,tariff_tariff_rate_pct,tariff_estimated_value_usd_bn,tariff_is_trump_1_0,tariff_is_biden,tariff_is_trump_2_0,tariff_is_retaliation,tariff_is_section_232,tariff_is_section_301,tariff_is_ieepa,disruption_event_flag
SC-10179,2024-01-01,Shanghai,Los Angeles,Rail,Electronics,2494.05,456.7,3.6,0.8,Hurricane,0.592,14.44,1,2024,1,1,0,1,1,0.4999999999999999,0.8660254037844387,0.0,1.0,5.46102474271951,2.8800000000000003,0.408,1,1,2024.0,1.0,1913.0,2500.0,4.22,-3.04,-35.73,28812.0,12058.0,0.82,0.913,5883.525058229814,,,,,,,,,,0
SC-10558,2024-01-01,Hamburg,Antwerp,Sea,Pharmaceuticals,11449.49,138.27,2.22,9.2,Storm,0.551,69.65,1,2024,1,1,0,1,1,0.4999999999999999,0.8660254037844387,0.0,1.0,82.80530845447312,20.424,0.4489999999999999,1,1,2024.0,1.0,1913.0,2500.0,4.22,-3.04,-35.73,28812.0,12058.0,0.82,0.913,5883.525058229814,,,,,,,,,,0
SC-13654,2024-01-01,Rotterdam,Dubai,Air,Perishables,941.72,186.36,3.15,7.9,Fog,0.757,0.5,0,2024,1,1,0,1,1,0.4999999999999999,0.8660254037844387,0.0,1.0,5.053230306932818,24.885,0.243,1,0,2024.0,1.0,1913.0,2500.0,4.22,-3.04,-35.73,28812.0,12058.0,0.82,0.913,5883.525058229814,,,,,,,,,,0
SC-14195,2024-01-01,Los Angeles,Antwerp,Road,Perishables,3206.28,47.55,1.43,9.8,Hurricane,0.716,23.29,1,2024,1,1,0,1,1,0.4999999999999999,0.8660254037844387,0.0,1.0,67.42965299684543,14.014,0.284,1,1,2024.0,1.0,1913.0,2500.0,4.22,-3.04,-35.73,28812.0,12058.0,0.82,0.913,5883.525058229814,,,,,,,,,,0
SC-10521,2024-01-02,Hamburg,Antwerp,Air,Textiles,6022.92,289.1,3.44,9.9,Fog,0.885,0.52,1,2024,1,1,1,2,1,0.4999999999999999,0.8660254037844387,0.7818314824680298,0.6234898018587336,20.833344863369074,34.056,0.1149999999999999,1,0,2024.0,1.0,1913.0,2500.0,4.22,-3.04,-35.73,28812.0,12058.0,0.82,0.913,5883.525058229814,,,,,,,,,,0
SC-11082,2024-01-02,Dubai,Rotterdam,Air,Electronics,6554.92,189.3,2.46,2.4,Rain,0.653,0.5,1,2024,1,1,1,2,1,0.4999999999999999,0.8660254037844387,0.7818314824680298,0.6234898018587336,34.62715266772319,5.904,0.347,1,0,2024.0,1.0,1913.0,2500.0,4.22,-3.04,-35.73,28812.0,12058.0,0.82,0.913,5883.525058229814,,,,,,,,,,0
SC-12025,2024-01-02,Rotterdam,Antwerp,Rail,Pharmaceuticals,4272.29,247.18,1.4,3.2,Fog,0.548,4.41,0,2024,1,1,1,2,1,0.4999999999999999,0.8660254037844387,0.7818314824680298,0.6234898018587336,17.28412492920139,4.48,0.4519999999999999,1,0,2024.0,1.0,1913.0,2500.0,4.22,-3.04,-35.73,28812.0,12058.0,0.82,0.913,5883.525058229814,,,,,,,,,,0
SC-13683,2024-01-02,Dubai,Singapore,Sea,Electronics,3935.53,303.5,2.89,0.9,Fog,0.666,8.95,1,2024,1,1,1,2,1,0.4999999999999999,0.8660254037844387,0.7818314824680298,0.6234898018587336,12.967149917627678,2.601,0.3339999999999999,1,1,2024.0,1.0,1913.0,2500.0,4.22,-3.04,-35.73,28812.0,12058.0,0.82,0.913,5883.525058229814,,,,,,,,,,0
SC-13958,2024-01-02,Dubai,Los Angeles,Sea,Textiles,1234.03,304.99,3.33,3.9,Fog,0.828,3.52,1,2024,1,1,1,2,1,0.4999999999999999,0.8660254037844387,0.7818314824680298,0.6234898018587336,4.046132660087216,12.987,0.172,1,0,2024.0,1.0,1913.0,2500.0,4.22,-3.04,-35.73,28812.0,12058.0,0.82,0.913,5883.525058229814,,,,,,,,,,0
SC-14245,2024-01-02,Hamburg,Singapore,Sea,Textiles,14053.58,457.53,1.52,10.0,Rain,0.764,34.53,1,2024,1,1,1,2,1,0.4999999999999999,0.8660254037844387,0.7818314824680298,0.6234898018587336,30.716193473652,15.2,0.236,1,1,2024.0,1.0,1913.0,2500.0,4.22,-3.04,-35.73,28812.0,12058.0,0.82,0.913,5883.525058229814,,,,,,,,,,0
SC-14283,2024-01-02,Rotterdam,Hamburg,Sea,Electronics,1349.2,44.98,3.4,6.4,Storm,0.531,7.99,1,2024,1,1,1,2,1,0.4999999999999999,0.8660254037844387,0.7818314824680298,0.6234898018587336,29.99555357936861,21.76,0.469,1,0,2024.0,1.0,1913.0,2500.0,4.22,-3.04,-35.73,28812.0,12058.0,0.82,0.913,5883.525058229814,,,,,,,,,,0
SC-10302,2024-01-03,Los Angeles,Busan,Air,Automotive,8339.21,381.18,1.62,2.3,Rain,0.827,1.06,1,2024,1,1,2,3,1,0.4999999999999999,0.8660254037844387,0.9749279121818236,-0.2225209339563143,21.87735453066792,3.726,0.173,1,0,2024.0,1.0,1913.0,2500.0,4.22,-3.04,-35.73,28812.0,12058.0,0.82,0.913,5883.525058229814,,,,,,,,,,0
